,Station CRS,Number,Max distance,Mean distance,Median distance
0,BIS,380,116520.22683208268,46398.070579096944,46370.95747084048
0,BSK,279,85465.6746126771,49321.814242640954,51100.48473351305
0,BIP,155,113998.74808523119,52579.97429399363,47666.69005710382
0,BSD,291,74798.47849388381,40728.27323035108,45017.087178339905
0,BSE,144,87809.77952938955,55452.62743131709,54659.89617626437
0,BTO,669,97159.91933405462,36814.44264481999,33893.83175228837
0,BHG,258,89513.54833766786,42499.12227662178,40582.2418799159
0,BET,624,75548.45609276208,25256.090381587725,21154.532493061623
0,BUL,172,108442.445564456,32512.382009397472,27164.044249706265
0,BLB,425,74692.41171631828,46377.05065862248,47171.941342285245
0,BYK,237,92822.77576112449,49423.11932095486,49933.170913791444
0,BTT,68,104975.38044703625,38924.20416473651,30219.938246694575
0,BUC,78,109052.58639757244,51413.35278623428,54138.4588553901
0,BGL,44,63135.57515379107,33346.007980575945,34400.05123542696
0,BHR,43,88374.2824581903,48099.98527066787,50399.53596016535
0,BLW,117,78266.08323533254,37139.79199809297,36960.813032183156
0,BUE,119,99609.8359852078,46102.29965173599,43397.17039839189
0,BUG,437,98613.80863246282,50127.869358000724,51912.933169866694
0,BUW,178,80773.10003955525,42335.56097431383,43431.8883425531
0,BUB,310,88525.2118043216,46650.36857710957,46860.03974603521
0,BNC,310,87751.5857406577,46975.44242493374,46989.47116110161
0,BYM,336,87785.90148765348,46533.20099696984,46143.32830656816
0,BUO,213,160243.5201435615,69624.30517069882,72632.94383351054
0,BUT,187,92717.56521824762,42958.10061392615,41559.737269157165
0,BUS,262,115213.98884250123,31873.16647404575,24108.291727121603
0,BSH,546,79029.01731642625,31432.827372579595,29634.207396183214
0,BUX,185,75260.382672426,38253.1816010654,36010.03332406122
0,BXH,665,84194.30995025733,30220.293217499173,27931.310835691187
0,BXD,404,79137.75398000628,53989.17099038136,55372.150265273245
0,BFN,593,81983.17974438415,32513.453525164456,31990.422332316903
0,BYE,108,147946.2714974595,55398.13749084971,61248.21487194545
0,CAD,162,102295.22080723029,36963.877429471366,33418.256791661915
0,CGW,285,94643.12349558207,49241.02820025292,50724.964402253856
0,CSK,53,103163.5234760814,46442.471357996175,44917.813088870986
0,CBG,146,101979.5030876303,50750.65488175738,49911.06139925297
0,CMB,142,99639.0669416369,54309.584271291205,57167.783943406444
0,CMO,271,118081.5925536237,41639.929223223415,36361.69694917096
0,CBH,624,76170.8136558879,25475.821100330417,21516.056911060634
0,CNL,155,73833.6630541923,33835.07908555067,30211.58221609719
0,CST,682,74902.78420726428,25623.05799635054,23274.159490731345
0,CBB,40,113226.87335610748,61364.50493707201,63374.742358450654
0,CDB,163,93986.98944534823,33859.539080596805,29925.59815609372
0,CDQ,163,93152.00193769322,33081.409724189405,28751.896720042663
0,CRF,264,106009.31055808258,34609.85730189512,28279.900040945337
0,CAK,93,70818.6079007488,43336.92709537874,46971.517806006654
0,CAR,91,136674.97929394394,73369.26188570033,74684.75413362488
0,CML,264,115716.14634527024,30900.322482575222,25512.171604941825
0,CAG,14,64486.211929372934,40801.51792315415,45217.82724532951
0,CWS,111,117654.25587287525,85294.57782028496,97416.89312798595
0,CFD,227,101009.08684370926,45316.28791362489,41251.96519327186
