,Station CRS,Number,Max distance,Mean distance,Median distance,Reachable Population
0,BNY,991,274640.76982487505,107423.30325977222,100563.430261701,6615162.0
0,BTB,739,227486.3965713115,121485.71281438242,130239.99517405817,5156342.0
0,BTY,1058,225300.3244782395,78226.05406698411,68001.19399687038,7613295.0
0,BFD,1092,236364.7673279586,56409.842610155465,41895.804718372456,7864008.0
0,BEN,1032,263848.06731336884,128378.0979958343,108600.4307852767,5579339.0
0,BRW,1005,309950.00869495067,111023.57213843203,106714.0176827768,6168218.0
0,BOD,112,194701.10658134433,75693.1105839185,76233.70245461125,644501.0
0,BOR,774,345954.2302472973,160483.95779980964,156058.3746823587,5247431.0
0,BOG,1184,240153.24361748688,109010.42642553108,94738.04541808931,8473166.0
0,BGS,512,322979.4691818661,115363.8269367387,81027.21113922162,849860.0
0,BON,1033,310949.70799150143,108043.42747891825,97416.15059955392,6212799.0
0,BMH,1044,241737.5530818495,133075.83769847496,140271.03942011693,7326089.0
0,BKA,1059,260847.40020939446,60719.01394672409,46177.81995720456,7615814.0
0,BRO,366,199464.26904335522,87756.00087303102,83786.07061942102,7173.0
0,BOC,803,218966.79982362624,131438.2798428717,129269.3933490534,4072829.0
0,BNW,1007,317847.11957795057,111640.83042496082,108092.01609739731,6176108.0
0,BOT,1007,317107.56284894876,111610.6937598164,107663.08093306638,6176108.0
0,BNE,1156,214320.3439923518,72505.25620205668,59932.217721355846,8409517.0
0,BRH,721,272569.0940403919,139220.62265832478,144031.6193063176,4729361.0
0,BRG,1012,225252.7089936989,63790.59333874997,49833.452960837465,7453193.0
0,BOH,1187,229435.55065856728,106979.9170227404,95834.35823138186,8508474.0
0,BSN,724,209954.60556987074,130716.65465263574,136793.33017647266,5201861.0
0,BTF,828,190589.42852372478,109689.24450472936,106858.59815662939,6016530.0
0,BOE,1278,352173.0263663019,124233.02688828911,109734.02312426525,8924753.0
0,BRV,1086,221653.6354878936,113282.71768888748,123657.70386433673,7322723.0
0,BWB,1147,220000.4192382369,89176.15087386248,82969.11139092669,8644441.0
0,BOP,1066,253271.87037647903,57684.831726407734,45611.62912394962,7751595.0
0,BWG,524,313265.44438223634,109939.44076602573,74514.26306419463,855388.0
0,BXW,1045,227762.19305670552,59433.38855443666,46826.766458938844,7626613.0
0,BCE,1126,204659.45736759884,71692.31357114704,59733.80262464462,8163576.0
0,BDQ,1050,310947.90319280175,126122.49590786063,98228.76391827018,5938662.0
0,BDI,1050,311597.50239050377,126072.24239477496,97954.69133839136,5938662.0
0,BTP,1028,226135.58065903737,83038.2438988163,74110.10676689111,7486404.0
0,BTR,1030,225255.18551189892,82953.28989711325,73946.14132596778,7486839.0
0,BRP,312,252309.73029195683,116892.82761188957,124467.96981223591,2379202.0
0,BSM,1044,245455.1122506924,134811.50024126846,142728.11706177588,7332922.0
0,BDB,980,298386.28470491065,94481.27913444774,80377.52188889627,6261921.0
0,BSY,1021,245545.01229713464,53604.21303380924,42780.19352351377,7561307.0
0,BSP,1034,244864.7703202729,52989.59236928513,41490.42581126398,7591058.0
0,BOA,1120,271934.23059261957,145254.34961344808,142916.30291966593,7337084.0
0,BWT,792,286332.9976181579,157274.41270439193,149403.12287566147,4904701.0
0,BDN,721,215691.76254321815,106699.69025913514,111965.32692758058,5469851.0
0,BDT,394,209363.9635276329,115916.53449592322,114770.20083680848,2668585.0
0,BLL,506,189667.68988153993,128353.58416892623,137577.3670725092,2551366.0
0,BBS,1085,217670.51275953755,112339.51375738115,122863.89583600221,7322280.0
0,BDY,1071,311555.20530718146,108313.93181031727,89862.75176067112,6370349.0
0,BRC,633,294303.49522219406,133924.65143494483,105273.45925627033,1530828.0
0,BYF,411,239590.23435858148,111413.8914630414,110950.32582196413,69706.0
0,BMF,645,202500.10179009786,104505.41561263717,104876.37881159506,4333843.0
0,BGI,706,324429.8798276755,151161.3924387341,149957.10985007987,2167815.0
0,BGN,736,312460.6804383553,145228.05419613275,154557.88945546903,4864863.0
0,BGG,780,225426.06465313633,121426.84596346902,130032.34213071762,5447490.0
0,LRB,1085,258070.40402572317,92368.90662920184,79121.11780434722,7921451.0
0,BTN,1086,258624.87326048128,92956.63280384376,79882.19265893995,7916997.0
0,BRR,524,298704.26472348865,104955.5812752686,74007.52664425423,855388.0
0,BAA,1184,241981.74966720113,105381.90070585407,89746.57418531361,8470139.0
0,BGH,786,236586.06298765785,80642.31267246857,81035.1837167042,5202421.0
0,BDG,527,295368.8235477807,102422.28929686302,66055.50147785255,855388.0
0,BRF,1133,300860.34790912544,128187.80764111054,114557.63826127004,5847420.0
0,BMD,1058,202278.28912169492,61537.78415660105,49214.56776199502,7673844.0
0,BNF,734,307589.0032575937,154053.036336599,160050.28679291887,4865350.0
0,BHD,679,281774.1523365832,131410.4707944567,125468.08359100732,4541274.0
0,BRX,1075,248383.1386567937,50252.84082702474,41294.18845309834,7814218.0
0,BPK,1053,176401.74119605508,61010.94498036355,47791.988713769104,7661614.0
0,CNP,1054,305712.2114015075,118281.74950041567,112687.11160046041,6288387.0
0,BKC,1054,306279.78019124933,118234.32404648876,112458.25373383955,6288387.0
0,BKN,1054,304353.4735073678,119376.07788952024,113847.03791541775,6288387.0
0,BKP,1053,305200.2509042219,118885.61152567092,113305.01383875296,6273171.0
0,BKO,1264,311448.79954978154,86722.2406036246,62307.340763348264,8965733.0
0,BRS,1247,332641.69029903633,79753.87932996698,53851.309965496665,8854845.0
0,BUY,1088,316868.52261624223,135411.37263736833,103156.51822897371,6121944.0
0,BOM,1001,301793.0284317383,107779.5308628301,106125.88704901896,6519005.0
0,BMR,1001,302668.1947347623,107909.84619430066,106339.23371814843,6512648.0
0,BMC,1033,315419.52809710434,108755.3256644824,99697.68117697234,6213659.0
0,BLE,1081,314961.4049371764,134408.7570715056,101907.12879872536,6085859.0
0,BRM,663,290425.9038481244,137268.14577808953,141732.01376188797,4359394.0
0,BMP,929,250462.24308066873,150726.37098690702,153026.8747932859,4537262.0
0,BMV,1792,267542.63215420453,141910.6118494073,147003.40575986667,12639978.0
0,BCN,477,327267.9566410375,105406.59058040023,70328.37180118983,589347.0
0,BNT,1071,310197.27808122366,108171.34044598349,90965.61179368828,6370051.0
0,BNH,1147,257194.21965705216,72745.82285883615,48687.88547006334,8226808.0
0,BUU,1016,217952.1962266038,83586.06983442047,74991.25054104581,7370870.0
0,BNP,463,282607.20082297974,139949.67701227998,125025.52418206452,3011496.0
0,BYA,286,217744.83346339126,122495.108826994,134001.12732734752,2209925.0
0,BGE,1007,311920.5518236976,108782.69501633896,105770.42251971956,6168518.0
0,BCY,1160,262908.1750345546,69750.81356460377,48063.27366289294,8366276.0
0,BMN,1150,248166.56100288773,68982.39662374467,46924.54982202813,8244483.0
0,BMS,1161,267506.10928350774,70847.95291323433,48287.48734403148,8342886.0
0,BME,958,227944.89092760996,117805.41346441237,112557.52142468712,6184274.0
0,BRA,177,282648.34410447197,160723.58786695203,182007.00022251892,0.0
0,BUH,646,208273.92371586032,108693.55909229768,109901.79429381488,4328049.0
0,BXB,1100,198440.56362800425,67921.06611885728,53931.90723495693,8029139.0
0,BRL,522,267179.8252937523,138967.18310995057,124514.20732916959,1011350.0
